msa,msa_name,sprawl_1976_92,sprawl_1992,sprawl_1976,central_empl_1977,streetcar_1902,avg_dec_popgr1920_70,sd_dec_popgr1920_70,pc_aquifer_fringe,pc_aquifer_msa,elevat_range_fringe,elevat_range_msa,ruggedness_fringe,ruggedness_msa,cooling_dd,heating_dd,pc_incorp_fringe,pc_incorp_msa,pc_transfers,rest_bars,road_density,popgr_1970_90,herfindahl_incorp,latitude,longitude,division
2720,"Fort Smith, AR-OK MSA",73.04,50.74,48.91,21.89071,0,3.931695,11.85424,0,0,612,644,8.293681,11.3631,1788.67,3448,6.293078,6.185148,40.04221,1.613607,.8168085,37.12622,.2277095,35.43919,-94.44839,7
2750,"Fort Walton Beach, FL MSA",68.68,54.22,54.49,22.44304,0,63.17141,46.36233,0,0,106,107,6.437869,6.307963,2296,1909,3.062081,3.653445,48.3,1.71227,1.036063,63.03537,.2234014,30.69091,-86.59173,5
2760,"Fort Wayne, IN MSA",65.06,42.29,41.79,21.27242,0,13.10236,4.996902,0,0,108,108,.9473282,.9525197,749,6296.25,2.175294,3.998148,28.38284,1.379806,.9654503,8.548135,.3069573,41.00026,-85.18848,3
2840,"Fresno, CA MSA",66.44,44.65,37.97,22.15598,0,27.26595,15.45477,0,0,4048,4293,20.27794,30.53104,1507,3317,1.10958,1.385595,43.33797,1.682902,.3157211,66.2179,.3806135,36.88004,-119.6801,9
2880,"Gadsden, AL MSA",78.36,57.23,54.26,23.11073,0,15.66323,14.33793,100,100,317,317,11.94673,11.92758,1610,3317,17.65547,19.11765,40,1.094069,1.327876,6.050306,.1768305,34.04525,-86.03477,6
2900,"Gainesville, FL MSA",54.69,43.96,45.45,22.44861,0,36.61895,14.20232,44.86828,44.33192,46,46,1.255024,1.247682,2703.33,1226.33,5.267456,6.791569,32.1,1.670421,1.438277,73.33817,.3302286,29.67477,-82.35757,5
2975,"Glens Falls, NY MSA",71.67,52.49,49.86,22.21603,0,5.965135,2.66633,8.034357,7.52636,1007,1051,21.83394,22.45568,411.5,7305,.9889604,1.225438,56.49355,2.026888,.7740105,16.07019,.1206897,43.44353,-73.64882,2
2980,"Goldsboro, NC MSA",76.98,62.38,60.93,22.35619,0,14.69033,8.597165,0,0,59,59,1.668361,1.664391,1689,3040,2.097902,3.537415,56.7,.7844698,.9262923,22.54824,.5784023,35.36381,-78.00404,5
2985,"Grand Forks, ND-MN MSA",59.44,39.50,41.21,24.40534,0,7.791152,4.057205,15.30097,12.54112,230,230,1.163306,1.241871,445.6,9764.4,.6488105,1.136991,38.03114,1.433999,.5094526,8.001088,.1418607,47.83595,-96.84456,4
2995,"Grand Junction, CO MSA",79.47,64.01,62.99,22.18973,0,19.87676,9.057652,0,0,2094,2129,26.95942,32.93376,956.429,5856.57,.6319591,.3764545,41.2,1.489683,.18453,71.3043,.6382002,39.01828,-108.4665,8
3000,"Grand Rapids-Muskegon-Holland, MI MSA",65.01,47.62,42.32,21.77726,0,18.48668,7.937111,43.4852,43.40006,144,144,3.097256,3.095638,485.333,6824,5.665164,8.038416,41.84216,1.20541,.8525713,22.8851,.0869841,42.93499,-85.85497,3
3040,"Great Falls, MT MSA",61.85,33.62,32.92,23.89015,0,43.58038,49.67023,55.70843,43.45022,498,1772,5.554344,20.69255,236.4,8021.2,.5394801,.6434466,23.1,2.030258,.177072,-4.980248,.731569,47.30803,-111.3472,8
3080,"Green Bay, WI MSA",58.40,33.71,33.12,23.455,0,20.76978,5.28387,41.2498,42.42766,128,128,2.707301,2.645177,381,8089,7.68,11.38836,46.2,1.889487,1.422536,22.97086,.4766444,44.45252,-88.00397,3
3120,"Greensboro--Winston-Salem--High Point, NC MSA",69.64,52.94,51.45,23.19673,0,22.65513,8.884964,100,100,642,642,5.806187,5.760755,1324,3678.29,2.550967,6.228104,44.69661,1.166339,.8984191,25.25673,.1551074,35.99997,-80.03912,5
3150,"Greenville, NC MSA",72.99,65.94,67.12,23.57971,0,10.28581,5.466371,15.04937,14.97876,31,31,.8713636,.8726553,1561,3129,2.742124,3.639515,61.8,1.231394,1.005263,46.0406,.3570169,35.59351,-77.37467,5
3160,"Greenville-Spartanburg-Anderson, SC MSA",75.20,55.97,52.86,22.21703,0,14.38138,3.293974,100,100,914,914,9.789678,9.570521,1418.7,3350.2,2.39015,4.450322,44.75977,1.210416,.9677326,34.94316,.0671901,34.83485,-82.30145,5
3240,"Harrisburg-Lebanon-Carlisle, PA MSA",67.23,46.88,47.24,23.10394,0,11.42651,3.277196,100,100,569,601,13.60147,14.61506,766.25,5650.5,1.916141,3.193874,36.15493,1.409,1.251271,15.22563,.0535891,40.33391,-76.986,2
3283,"Hartford, CT NECMA",53.67,41.34,42.23,22.67278,0,20.52909,7.321546,41.47965,45.6863,426,426,10.75784,10.28001,499.667,6400.67,4.798112,6.457831,21.37265,1.334309,1.334765,8.568657,.2808532,41.7346,-72.5773,1
3285,"Hattiesburg, MS MSA",55.43,41.95,42.04,22.62354,0,16.66448,6.997673,0,0,103,113,4.579545,4.656709,2265,2180,2.663116,3.822153,41.65,1.3414,.9544125,35.15015,.3438151,31.19762,-89.38721,6
3290,"Hickory-Morganton-Lenoir, NC MSA",76.59,61.66,58.10,21.76996,0,20.61949,4.206418,100,100,1492,1492,17.73486,18.49664,1215.33,3673,2.552987,4.299363,54.51308,1.07299,.8470127,28.58682,.1125108,35.81313,-81.45466,5
3350,"Houma, LA MSA",83.65,65.39,62.50,25.37351,0,20.74396,9.244041,0,0,4,4,.0579861,.0570153,2622.5,1497,.5565423,.6578292,47.24164,1.213877,.5709611,26.10663,.3907254,29.47115,-90.6648,7
3362,"Houston-Galveston-Brazoria, TX CMSA",48.11,38.15,38.93,22.31166,0,46.11191,7.709042,0,0,127,127,.8930581,.8929368,2781.77,1535.38,11.70287,14.13095,23.43615,1.579814,.7053133,71.05322,.1867425,29.77328,-95.32489,7
3400,"Huntington-Ashland, WV-KY-OH MSA",80.91,57.05,54.72,21.83348,0,8.97999,9.456778,100,100,255,276,22.48184,23.36919,964,4965.2,2.24525,2.676567,41.46696,1.01048,.9956129,1.872321,.1180021,38.39027,-82.64262,6
3440,"Huntsville, AL MSA",68.78,48.29,45.96,20.47529,0,23.95499,18.70943,35.39258,37.67421,349,380,7.071167,7.776037,1545.33,3494.67,10.86892,12.05976,41.43608,.9989529,.8453716,28.3948,.496006,34.78319,-86.73459,6
3480,"Indianapolis, IN MSA",62.76,39.66,37.68,21.46791,177.3724,17.21051,6.960326,0,0,152,152,2.221703,2.210012,898.111,5849.33,9.415696,14.78843,28.78996,1.265688,1.195443,10.58676,.4658692,39.80733,-86.11735,3
3500,"Iowa City, IA MSA",52.36,38.15,39.68,22.06485,0,22.71719,11.27563,85.61626,85.47072,123,123,5.886951,5.91254,1047,6227,5.132962,6.488781,19.9,1.497359,1.158782,33.26355,.3655341,41.67153,-91.58813,4
3520,"Jackson, MI MSA",81.14,64.73,62.08,25.12662,0,14.97593,9.438519,61.55415,61.20229,76,76,2.475774,2.479685,621,6791,1.600854,2.403344,43.5,1.277273,.929662,4.524199,.473535,42.24847,-84.42332,3
3560,"Jackson, MS MSA",49.24,37.36,39.02,23.12606,0,22.18753,6.265137,0,0,144,144,2.987199,3.142547,2111.5,2485.75,7.325539,8.358023,29.24198,1.032417,1.036888,36.98444,.2924232,32.37871,-90.15235,6
3580,"Jackson, TN MSA",48.21,39.35,48.54,22.48355,0,7.31648,5.419159,0,0,104,108,3.580831,3.612108,1663.5,3661,4.850564,5.523386,41.6,1.229281,1.122594,20.02141,.7104579,35.54449,-88.76168,6
3600,"Jacksonville, FL MSA",49.45,37.45,39.00,24.96662,0,34.07769,10.54741,0,0,76,76,.9982107,.9877682,2641.25,1258.75,22.83423,25.91967,32.10731,1.301698,1.322843,48.09098,.8936036,30.21696,-81.68965,5
3605,"Jacksonville, NC MSA",65.36,61.82,68.05,23.92693,0,55.41917,50.95193,100,100,35,35,1.157059,1.144586,1722,2720,.1892148,.2302026,70.1,1.309078,.907544,45.29605,.44,34.73052,-77.42803,5
3610,"Jamestown, NY MSA",76.06,56.32,56.27,22.19635,0,5.122402,4.76512,0,0,466,466,9.168789,9.098772,483.5,6490.5,2.288166,3.459011,51.1,1.83972,1.187631,-3.672652,.1146,42.22789,-79.36645,2
3620,"Janesville-Beloit, WI MSA",70.36,44.60,43.18,21.27278,0,14.9147,4.860641,100,100,105,106,4.515851,4.51625,636,7161,4.868914,7.139135,50.3,1.886792,1.637259,5.71342,.3170654,42.67123,-89.07158,3
3660,"Johnson City-Kingsport-Bristol, TN-VA MSA",76.22,63.91,64.41,21.11419,0,14.88874,6.818774,100,100,1334,1531,27.53333,28.33384,961.5,4357,3.270609,4.116571,46.79316,.9594231,.9063744,12.46064,.1195364,36.50303,-82.41058,6
3680,"Johnstown, PA MSA",87.55,71.10,67.96,20.75636,0,-1.173686,4.020261,100,100,640,640,16.91544,17.96181,432,6490.75,2.773613,3.169844,42.7668,1.175701,.7151158,-8.208978,.0441015,40.17776,-78.90475,2
3700,"Jonesboro, AR MSA",57.17,40.41,43.04,22.47354,0,7.087854,8.286201,0,0,88,88,1.094069,1.044054,1940,3504,2.631579,3.529412,44.2,1.498041,.7162713,32.43451,.5624426,35.83076,-90.63282,7
3710,"Joplin, MO MSA",66.17,46.12,44.03,21.89942,0,2.295914,2.686579,94.27983,94.10287,165,165,3.561099,3.553484,1456,4394,6.19195,7.503038,36.96363,1.59641,.7831156,19.65092,.1439624,37.05653,-94.33994,4
3720,"Kalamazoo-Battle Creek, MI MSA",77.68,55.41,49.91,22.13936,0,18.16931,6.649933,23.7881,23.81378,144,144,2.418379,2.440735,600,6545.2,4.423701,6.085591,40.12574,1.366072,.931803,7.447597,.1535692,42.24775,-85.49282,3
3760,"Kansas City, MO-KS MSA",50.92,35.32,34.33,22.6056,241.0884,15.29669,8.099511,.0087643,.0081529,178,178,4.446467,4.50052,1305.88,5183.88,14.99963,18.61746,28.73186,1.285428,.9291132,14.43598,.1188903,39.06395,-94.45334,4
3810,"Killeen-Temple, TX MSA",56.48,40.00,38.41,22.66983,0,20.451,18.26582,17.60411,19.90501,277,339,5.711445,5.73541,2486,2220.2,4.640324,5.120961,50.90697,1.326708,.6463206,59.76883,.1909394,31.21206,-97.63673,7
3840,"Knoxville, TN MSA",72.93,62.49,63.95,22.9851,0,17.37589,8.929772,100,100,963,1779,18.98791,23.37951,1139,4151.71,7.016595,7.691138,43.46603,1.335741,1.008744,26.85423,.1751707,35.89645,-83.89955,6
3850,"Kokomo, IN MSA",75.54,42.14,37.99,18.75189,0,10.95552,7.826307,0,0,70,70,.9528724,.9591204,770,6429,1.549296,3.561644,27.93103,1.512299,.4533668,-2.906418,.6028106,40.40278,-86.08643,3
3870,"La Crosse, WI-MN MSA",71.84,42.25,41.14,22.94422,0,10.96761,3.093179,100,100,237,237,16.94613,16.72411,578.5,7920.5,2.399409,3.658095,49.64201,2.489186,.9522577,18.74745,.2536026,43.77924,-91.3197,4
3880,"Lafayette, LA MSA",59.58,43.54,44.95,23.17097,0,14.56054,2.478918,0,0,22,22,.4049113,.3997845,2587,1649.67,2.214806,3.318714,57.13394,1.354491,.7248923,25.60096,.1258126,30.34121,-91.99043,7
3920,"Lafayette, IN MSA",77.77,48.75,43.40,21.50059,0,15.03362,9.200654,0,0,136,136,1.948748,1.977701,863.5,6051.75,1.495088,2.791667,30.07027,1.522244,1.08687,15.47043,.2929383,40.34986,-86.70729,3
3960,"Lake Charles, LA MSA",60.09,46.00,46.71,22.18029,0,36.69008,22.66045,0,0,22,29,.4244142,.4400926,2507,1761.5,2.083333,4.439092,42.8,1.313482,1.019247,15.62356,.3893396,30.22927,-93.35801,7
3980,"Lakeland-Winter Haven, FL MSA",59.00,48.76,46.62,20.91018,0,44.75234,25.94555,4.878397,5.00203,73,74,1.256064,1.260332,3398.6,646.2,2.431184,3.430079,34.6,1.276285,1.14617,78.4079,.1097694,27.94885,-81.69771,5
4000,"Lancaster, PA MSA",73.78,54.52,54.72,21.91703,0,13.02261,3.658636,100,100,354,354,7.596472,7.462732,841.667,5456.67,2.281826,3.74662,35.6,1.341912,1.27375,32.25876,.0963971,40.04236,-76.24776,2
4040,"Lansing-East Lansing, MI MSA",70.08,44.92,42.56,21.82315,0,23.24719,6.490812,90.13293,90.34401,122,122,1.956157,1.953688,463,7217.75,2.595315,4.488889,38.65867,1.154792,.9162164,14.33607,.2024311,42.71332,-84.60696,3
4080,"Laredo, TX MSA",47.49,25.28,25.51,23.54584,0,20.72642,12.66938,0,0,171,207,3.920131,3.191549,3685.5,1153.5,.8891929,.5582849,53.7,1.427415,.1084385,82.8724,1,27.76103,-99.33172,7
4100,"Las Cruces, NM MSA",73.78,61.33,62.28,22.64134,0,34.93805,20.91512,0,0,1516,1516,11.58465,10.31838,1425.67,3491.33,1.465846,.7623007,53.2,1.390223,.2771641,94.21553,.6259066,32.35265,-106.8328,8
4120,"Las Vegas, NV-AZ MSA",35.52,33.32,50.08,24.50248,0,85.52965,45.83757,5.168168,11.96348,2408,3530,23.89592,24.69095,1751.9,4045,3.030783,.6304086,31.65689,2.224818,.0512254,179.8208,.1966621,36.8944,-115.2727,8
4150,"Lawrence, KS MSA",52.88,36.99,38.02,23.93252,0,20.2142,14.76254,0,0,128,128,4.903706,4.919228,1565,4734,3.194103,5.075337,25.4,1.570807,1.151059,41.19658,.824707,38.8845,-95.29243,4
4200,"Lawton, OK MSA",62.45,33.14,33.82,23.58736,0,33.53486,18.19705,.9913403,.9354316,429,429,5.695306,5.701762,2052.33,3461,3.403626,4.531195,47,1.239089,.5608692,3.090324,.7228402,34.66207,-98.47169,7
4243,"Lewiston-Auburn, ME NECMA",71.79,48.27,40.19,23.7611,0,6.786569,2.070073,0,0,309,309,7.096574,7.086462,398,7244,17.24684,19.20428,17.3,1.237963,.7724053,15.31568,.5356264,44.16581,-70.20639,1
4280,"Lexington, KY MSA",68.19,47.69,46.47,22.267,0,14.80176,6.9293,7.725147,7.445013,338,338,7.742353,7.657932,1198,4478.5,1.505776,1.839763,30.75481,1.334708,1.35049,31.18789,.1217482,38.00565,-84.3975,6
4320,"Lima, OH MSA",74.39,52.22,51.11,20.89416,0,9.14158,7.194203,0,0,105,105,1.106237,1.100769,810,6253,2.936928,4.458001,28.38163,1.535934,.8191771,3.067862,.1776177,40.66706,-84.16325,3
4360,"Lincoln, NE MSA",71.54,34.60,31.17,23.40845,0,14.78919,9.984012,69.15751,64.89938,133,143,4.520022,4.452527,1199,6160,4.33633,7.433946,17.9,1.44667,.8937216,27.18846,.8949775,40.78408,-96.68776,4
4400,"Little Rock-North Little Rock, AR MSA",48.77,37.82,42.25,22.33829,0,15.34605,4.295071,0,0,401,492,4.393934,5.143009,1857.75,3180.88,5.906984,7.408815,34.97569,1.149253,.6568982,34.63503,.1971247,34.81948,-92.29186,7
4420,"Longview-Marshall, TX MSA",62.04,54.72,59.25,21.75645,0,13.08603,21.35895,0,0,161,161,4.03994,3.990317,2143,2570.67,6.919642,7.649926,38.78006,1.396865,1.212321,36.72414,.1540888,32.60032,-94.62995,7
4472,"Los Angeles-Riverside-Orange County, CA CMSA",57.34,35.41,32.95,22.05581,259.4031,57.69707,36.24373,0,.1955484,3543,3543,29.44687,23.30929,1939.81,2109.21,9.388967,6.626337,33.10366,1.44975,.285493,45.7022,.0482622,34.49925,-116.579,9
4520,"Louisville, KY-IN MSA",65.90,43.04,43.04,22.71849,168.5303,18.56127,6.809161,0,0,191,191,8.155074,7.74572,1236.5,4632.75,3.069208,7.379135,28.61962,1.217818,.8933905,4.854917,.1784562,38.2854,-85.78374,3
4600,"Lubbock, TX MSA",70.87,32.96,32.92,22.12755,0,89.87227,85.59796,0,0,191,191,2.375777,2.341264,1689,3431,7.409031,10.89151,33,1.489166,.7850608,24.17301,.7997048,33.6102,-101.8205,7
4640,"Lynchburg, VA MSA",85.55,72.27,72.34,22.01142,0,9.097206,5.803401,100,100,1097,1111,15.16094,14.93481,1038.5,4258.5,3.307246,3.554255,39.54096,.8319427,.8105583,-5.650886,.5867128,37.36367,-79.29506,5
4680,"Macon, GA MSA",70.00,52.25,47.01,22.51858,0,16.36403,13.0165,26.88978,30.81843,129,129,5.505747,5.488386,2125,2334,3.491343,5.65899,43.80163,1.206894,1.121574,19.82807,.3380184,32.72147,-83.60393,5
4720,"Madison, WI MSA",60.05,46.31,47.40,23.78263,0,26.68218,5.679616,100,100,146,235,6.340404,6.716093,532.667,7503.33,6.286702,8.022215,41.6,1.815539,1.320796,26.46242,.3368343,43.06735,-89.41834,3
4800,"Mansfield, OH MSA",66.12,49.38,50.61,21.22204,0,14.80785,6.935126,62.1953,62.83088,195,195,2.85726,2.83684,565.667,6509.33,5.197595,7.130872,26.56511,1.569075,.8813158,-3.522935,.2249827,40.80872,-82.70753,3
4880,"McAllen-Edinburg-Mission, TX MSA",64.50,46.62,45.51,22.74799,0,59.054,69.41101,0,0,113,113,.9385321,.9282516,3883.6,788.2,4.716682,5.328639,44.3,1.492825,.6454476,111.2788,.1430845,26.39672,-98.18134,7
4890,"Medford-Ashland, OR MSA",58.60,42.33,43.39,22.13644,0,37.42537,20.58898,13.24297,23.86521,2528,2554,38.98801,41.16484,392.5,5457.17,1.696113,1.174882,36.6,1.914675,.3680328,54.85492,.3037389,42.43217,-122.7284,9
4900,"Melbourne-Titusville-Palm Bay, FL MSA",40.11,34.21,40.68,20.36957,0,120.3522,128.3869,0,0,15,15,.2980976,.3122962,3125,723.5,7.501394,8.854668,38.1,1.313009,1.500332,73.46417,.2727138,28.2935,-80.73222,5
4920,"Memphis, TN-AR-MS MSA",38.07,27.40,28.72,22.54137,161.1833,20.5327,5.68016,0,0,126,133,1.878005,2.122514,1851.6,3347.8,9.543769,12.32538,32.75103,1.057549,.6194769,17.58006,.4392385,35.19061,-89.86535,6
4940,"Merced, CA MSA",61.60,46.47,48.78,21.94009,0,34.23566,12.98561,0,0,1123,1123,6.304111,7.666779,1486.67,2620.33,1.133977,1.371186,44.3,1.490982,.5416179,70.51009,.3005356,37.19262,-120.718,9
4992,"Miami-Fort Lauderdale, FL CMSA",34.11,20.73,20.03,23.81817,0,117.0607,65.63264,99.31768,91.64027,4,4,.059434,.0487496,3972.5,242.625,9.147344,10.12276,18.34494,1.629357,.5256474,69.11108,.0457454,25.81797,-80.53369,5
5082,"Milwaukee-Racine, WI CMSA",59.52,35.33,33.85,22.50793,0,17.83243,8.898275,6.484479,5.910688,204,204,4.066339,4.050441,535.889,7364.67,22.38528,30.14228,38.64218,1.556659,1.518995,2.074085,.0619959,43.09738,-88.15227,3
5120,"Minneapolis-St. Paul, MN-WI MSA",47.20,32.07,31.34,22.67107,166.287,18.50336,6.248274,70.17957,73.3095,192,195,4.065558,4.17801,590.2,8128,23.3455,26.32618,32.91593,1.187143,1.029941,25.26843,.0151007,45.06653,-93.20338,4
5140,"Missoula, MT MSA",73.63,54.73,54.86,22.99531,0,20.48626,15.41697,0,0,1727,1831,56.03334,52.50079,171,8441.33,1.528662,.3914745,20.8,2.505878,.1607236,35.05484,1,47.03648,-113.9238,8
5160,"Mobile, AL MSA",77.70,58.49,56.10,22.76119,0,26.70541,17.51029,0,0,105,122,4.709429,5.099702,2478.5,1723.83,7.993384,7.712665,36.87222,1.107011,.8477194,26.60888,.2806773,30.75298,-87.93095,6
5170,"Modesto, CA MSA",48.66,35.10,37.54,22.16586,0,35.88928,17.36514,0,0,891,1155,9.540204,13.76153,1434.5,2658,1.728763,2.975,40.2,1.542369,.6234803,90.49387,.4075277,37.55919,-120.9977,9
5200,"Monroe, LA MSA",49.75,35.95,37.74,22.74318,0,32.79039,25.10802,0,0,69,73,2.550782,2.632146,2242,2478,2.307692,5.333333,52.4,1.239308,1.110228,23.22965,.5389979,32.47845,-92.15456,7
5240,"Montgomery, AL MSA",63.41,48.59,49.49,22.97048,0,12.17786,5.376222,13.09645,13.12442,205,205,5.324778,6.009393,1970,2452.5,11.39948,8.156877,45.78588,1.257834,.566303,29.55555,.5804718,32.43282,-86.31665,6
5280,"Muncie, IN MSA",70.39,42.72,39.76,21.4812,0,18.11039,3.925143,0,0,77,77,1.08089,1.093293,878,6027,2.902903,6.78128,34.9,1.35429,1.492249,-7.398293,.6818092,40.22752,-85.39694,3
5330,"Myrtle Beach, SC MSA",71.50,63.28,63.79,23.62318,0,17.29629,9.759847,0,0,46,46,.8097977,.8105837,1827,2629,1.243555,1.537071,53.1,2.814607,.8539886,105.8135,.3248751,33.92149,-78.99656,5
5345,"Naples, FL MSA",56.98,52.32,49.78,23.21978,0,69.56414,70.03215,0,0,12,12,.1516218,.1270773,3659.5,349.5,.5810736,.4557292,40.59999,3.049422,.5978511,299.8396,.8673469,26.11691,-81.3445,5
5360,"Nashville, TN MSA",68.22,56.10,57.10,23.25425,0,15.99718,2.2753,47.25834,48.56171,289,289,8.47755,8.736754,1371.22,4112.56,16.15657,17.09134,37.2494,1.257255,1.091589,40.89069,.4545717,36.16465,-86.73436,6
5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT NECMA",55.42,39.11,38.68,22.91474,0,16.03105,6.016755,22.6248,22.54997,394,394,12.46042,11.48534,638.75,5743,14.05579,17.21051,21.08636,1.367572,1.223426,6.119412,.1126864,41.33968,-73.16579,1
5523,"New London-Norwich, CT NECMA",74.30,64.59,60.07,22.9859,0,17.3807,8.069636,0,0,191,191,8.968516,8.89828,511.5,5910,4.879386,5.352548,30.4,1.34579,1.451813,10.6834,.5453032,41.48707,-72.1021,1
5560,"New Orleans, LA MSA",49.25,32.29,33.92,24.23259,185.2439,18.82723,6.246155,0,0,66,66,.395147,.34869,2671.25,1496.63,3.684355,3.973244,37.612,1.368726,.9782038,12.33601,.5422009,29.91692,-89.95475,7
5602,"New York-Northern New Jersey-Long Island, NY-NJ-CT-PA CMSA",52.17,28.75,28.47,25.16926,259.5536,14.64001,6.830582,47.28042,44.46515,642,670,9.826523,8.558438,721.2,5673.71,7.543241,13.95994,33.19413,1.299703,1.28019,-.2991821,.0522125,40.90321,-74.13356,2
5720,"Norfolk-Virginia Beach-Newport News, VA-NC MSA",48.91,40.82,44.07,23.61957,0,25.08674,19.75738,0,0,33,33,.785072,.7574369,1372.57,3584.43,33.51304,31.37308,36.7611,1.05941,1.078562,9.447939,.2986857,36.88459,-76.41914,5
5790,"Ocala, FL MSA",54.60,51.21,56.13,22.94049,0,24.03304,10.58765,76.91735,76.29372,68,68,1.556814,1.558986,3046,930,1.31951,2.153494,43.09999,1.825293,1.10064,182.244,.5636035,29.21018,-82.05681,5
5800,"Odessa-Midland, TX MSA",72.86,48.57,47.92,22.59027,0,136.6039,87.09012,43.22628,52.21539,194,217,1.409284,1.474374,2168.33,2675,2.608412,3.393045,21.07871,1.666264,.6257194,43.44179,.5043401,31.86922,-102.2872,7
5880,"Oklahoma City, OK MSA",58.01,28.69,27.01,23.0434,0,24.56485,17.45568,42.25094,42.34509,257,257,3.87195,3.833155,1970.57,3430.14,33.04628,35.4141,31.28959,1.937798,.9774903,33.57559,.1866671,35.43285,-97.44487,7
